1,2,3,3,4,5,5
2,2,3,4,4,5,5
3,3,3,4,4,5,6
3,3,3,4,5,6,6
4,4,4,5,6,7,7
4,4,5,6,6,7,7
5,5,6,6,7,7,7
5,5,6,7,7,7,7
